"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burundi","BDI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000803592","0.00797944","0.0158428","0.0392045","0.0772484","0.106001","0.118228","0.201273","0.34906","0.542143","0.657593","0.7","0.81","0.9","1","1.11","1.22","1.26422","1.38","4.86622","5.17363","2.66075","2.66075","2.66075","",
"Belgium","BEL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00100674","0.0200726","0.100041","0.199446","0.695995","0.991663","2.96841","4.93808","7.88662","13.7722","29.4317","31.2884","46.33","49.97","53.86","55.82","59.72","64.44","66","70","75","81.61","80.72","82.1702","85","85.0529","86.5165","87.6797","88.6551","90.3705","",
"Benin","BEN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.0016931","0.0246488","0.0478773","0.154907","0.225248","0.363418","0.702946","0.951327","1.18254","1.27103","1.53785","1.79","1.85","2.24","3.13","4.14832","4.5","4.9","6","11.255","11.994","20","20","20","",
"Burkina Faso","BFA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.000960519","0.0186864","0.0454235","0.0617803","0.0770802","0.157732","0.200993","0.37344","0.400295","0.469914","0.632708","0.75","0.92","1.13","2.4","3","3.72503","9.1","9.4","14","13.96","16","16","16","",
"Bangladesh","BGD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","0.000751046","0.00368481","0.0361704","0.0710394","0.129808","0.13992","0.163878","0.199036","0.241637","1","1.8","2.5","3.1","3.7","4.5","5","6.63","13.9","14.4","18.02","15","15","12.9","",
"Bulgaria","BGR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.00233904","0.0195267","0.119666","0.725251","1.21981","1.84497","2.90815","5.37092","7.6123","9.08","12.04","18.13","19.97","27.09","33.64","39.67","45","46.23","47.98","51.9","53.0615","55.49","56.6563","59.8255","63.4101","64.782","67.947","",
"Bahrain","BHR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.346206","0.843254","1.6463","3.2182","4.72036","6.15373","15.0386","18.0507","21.5549","21.4587","21.3037","28.244","32.91","51.95","53","55","77","88","90","90.5031","93.4783","98","95.8781","98.6434","99.7015","",
"Bahamas, The","BHS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.960031","1.74695","1.36295","2.33559","3.76456","8","11.8","18","20","22","25","26","27","31.54","33.88","43","65","71.7482","72","76.92","78","80","85","85","85","",
"Bosnia and Herzegovina","BIH","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.0151256","0.0594256","0.143671","0.194374","1.08296","1.20053","2.64827","3.96504","15.469","21.3267","25.1224","27.92","34.66","37.74","42.75","43.8877","45.0645","48.5213","49.9177","52.6","60.2565","64.892","70.1201","69.9463","",
"Belarus","BLR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.000485951","0.00292125","0.0292983","0.0490209","0.0738689","0.494881","1.8604","4.30062","8.95097","8.95097","8.95097","8.95097","16.2","19.7","23","27.43","31.8","39.6489","46.91","54.17","59.02","62.2304","71.113","74.4364","79.1299","82.7892","",
"Belize","BLZ","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.0453972","0.882807","1.28858","2.09152","4.07674","5.96384","5.96384","5.68425","5.68425","9.8","17","24","24.6","26.3","27.2","28.2","30.7","31","33.6","38.7","41.59","44.5757","47.0826","47.0826","47.0826","",
"Bermuda","BMU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","6.83816","16.2025","24.1893","32.1038","39.9476","42.9499","47.5097","52.0316","56.522","60.9909","65.4471","69.8997","74.3506","82.3","83.25","84.21","88.336","91.2993","95.3","96.8","98.3236","98","98.37","98.37","98.37","",
"Bolivia","BOL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.0668076","0.196081","0.447839","0.626484","0.981815","1.44276","2.12046","3.11719","3.5086","4.43992","5.22758","6.20067","10.4992","12.5","16.8","22.4","30","35.34","36.99","34.6","35.5623","39.6975","43.8323","43.8323","43.8323","",
"Brazil","BRA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00328817","0.0129463","0.0254983","0.0376727","0.105138","0.450789","0.786079","1.47787","2.03873","2.87069","4.52849","9.14943","13.2076","19.0737","21.0227","28.1784","30.88","33.83","39.22","40.65","45.69","48.56","51.04","54.551","58.328","60.8725","67.4713","67.4713","67.4713","",
"Barbados","BRB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.00775224","0.389464","0.783429","1.97025","2.37625","3.97368","11.9365","27.8363","39.6896","49.8","52.5","55.3","58.2","61.4","64.7","65.1","66.5","71.2","71.8","75.16","76.11","79.5494","81.7608","81.7608","81.7608","",
"Brunei Darussalam","BRN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.01708","3.30335","4.83106","6.28474","7.67104","8.99628","12.9178","15.3299","19.595","29.7156","36.4664","42.1863","44.68","46","49","53","56","60.2731","64.5","68.77","71.2","90","94.8667","94.6","95","",
"Bhutan","BTN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","0.137572","0.400944","0.864629","1.6758","2.43691","3.15698","3.84711","4.51832","5.92","6.55","7.17","13.6","14.4","15.6","22.4","30.3","39.8","41.7726","48.1064","48.1064","48.1064","",
"Botswana","BWA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.064521","0.157454","0.307747","0.602401","1.12239","2.90267","3.43089","3.38592","3.34519","3.30489","3.26255","4.28993","5.28","6.25","6.15","6","9","16","30","36.7447","37.3121","39.363","47","47","47","",
"Central African Republic","CAF","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.0058495","0.0142709","0.0278782","0.0408943","0.0533942","0.0785434","0.128537","0.151563","0.223401","0.268196","0.311159","0.375816","1","1.8","2","2.2","3","3.4","3.6","3.8","4","4.33925","4.33925","4.33925","",
"Canada","CAN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.361","0.570386","0.915981","1.18456","2.37869","4.16353","6.76024","15.0724","24.8974","36.1864","51.3","60.2","61.5933","64.2","65.956","71.66","72.4","73.2","76.7","80.3","80.3","83","83","85.8","87.12","90","91.16","91","91","91","",
"Central Europe and the Baltics","CEB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.0021102112422021","0.0233776653910848","0.140246375396295","0.367437620478668","0.587342224548959","1.06881255560957","1.79192462960958","3.51519828941984","4.96727764898401","7.05382364904476","10.2388375633949","18.2554761992201","22.5931212289828","29.2463406861194","34.7508894916645","40.8006088189678","45.2841740271644","50.6865288171857","55.0986207601394","58.5913129651185","59.1103520544265","61.7163451056527","63.463990446104","66.4833913113019","67.3494651243399","71.3419860635486","73.4095852316309","75.8877997192072","80.2319832378611","",
"Switzerland","CHE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.595714","1.17996","1.75171","2.16727","2.72","3.55201","4.54966","15.1","24.8","34","47.1","55.1","61.4","65.1","67.8","70.1","75.7","77.2","79.2","81.3","83.9","85.193","85.2","86.34","87.4","87.4791","89.1347","89.6861","89.6861","93.1461","",
"Channel Islands","CHI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.0365489","0.0717831","0.141085","0.346981","0.683476","1.05709","1.66232","4.10342","16.6","19.1","22.1","25.4738","28.1779","31.1753","34.4978","35.9","37.3","41.56","45","52.2496","55.05","58","61.11","76.63","83.5586","82.3275","82.3275","82.3275","",
"China","CHN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.00016868","0.00116811","0.00495471","0.0130817","0.0323949","0.16854","0.708188","1.77591","2.63965","4.5957","6.2","7.3","8.52326","10.5232","16","22.6","28.9","34.3","38.3","42.3001","45.8","47.9","50.3","53.2","54.3","54.3","54.3","",
"Cote d'Ivoire","CIV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.000200256","0.00840978","0.0188284","0.0609744","0.118686","0.231462","0.395748","0.497929","0.75867","0.849282","1.03924","1.5249","1.8","1.9","2","2.7","2.9","5","12","19.2742","38.44","41.2078","43.8399","46.8237","36.4538","",
"Cameroon","CMR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","0.00676874","0.0132163","0.129068","0.25212","0.277051","0.360872","0.587623","0.976075","1.40265","2.02874","2.93","3.4","3.84","4.3","5","7.5","10","16.2149","20.6801","23.203","23.203","23.203","23.203","",
"Congo, Dem. Rep.","COD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.000108207","0.000211213","0.000413065","0.00100908","0.00590211","0.0114758","0.0927907","0.134915","0.196208","0.238038","0.296054","0.37","0.44","0.56","0.72","1.2","1.67996","2.2","3","3.8","6.20997","8.6199","8.6199","8.6199","",
"Congo, Rep.","COG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.00352686","0.0034691","0.00341514","0.016791","0.0263547","0.0322236","0.15725","0.460014","1.0775","1.46342","2.00799","2.7597","4.28751","4.5","5","5.6","6.1067","6.6","7.11","7.61597","8.12195","8.65","8.65","8.65","",
"Colombia","COL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.107174","0.188047","0.330018","0.550521","1.12623","1.69773","2.20753","2.8542","4.6","7.38892","9.11869","11.0073","15.3417","21.8","25.6","30","36.5","40.3509","48.98","51.7","52.57","55.905","58.1365","62.2599","62.2599","65.0069","",
"Comoros","COM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","0","0.037871","0.148163","0.271741","0.443068","0.55487","0.848189","1.32733","2","2.2","2.5","3","3.5","5.1","5.5","5.9753","6.5","6.98","7.45916","7.93832","8.47817","8.47817","8.47817","",
"Cabo Verde","CPV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","0.240968","0.472735","1.15998","1.82244","2.68533","3.51876","4.32489","5.31883","6.07409","6.80891","8.28322","14","21","30","32","34.74","37.5","40.26","42.68","50.3228","57.1621","58.1714","58.1714","",
"Costa Rica","CRI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.00111333","0.0815098","0.279912","0.416829","0.841057","1.64022","2.66638","3.90432","5.80025","9.55948","19.8949","20.3336","20.7923","22.07","25.1","28.4","32.29","34.33","36.5","39.2122","47.5","45.96","53","59.763","65.8804","71.3908","74.0868","81.2026","",
"Caribbean small states","CSS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.01483390359364","0.168093408323073","0.552033269637024","0.903212914469773","1.9392132909314","3.36610420034178","4.91930641717606","8.2130773916497","11.9139275244275","14.340234825957","16.4151360420612","18.7353856579595","21.2937028826894","24.4998467873134","27.6679876313022","31.7508974648875","35.3910946256284","42.1412484840484","42.4939915051293","45.2698401409788","48.3336777791331","50.2954628333812","52.9532186936825","59.1763695734429","59.1730233037335","59.162678822263","",
"Cuba","CUB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","9.1658E-05","0.031949","0.0682202","0.226699","0.314691","0.541183","1.07975","3.77059","5.24127","8.40798","9.73806","11.1596","11.69","12.94","14.33","15.9","16.0173","21.2","27.93","29.0702","37.3051","42.9787","57.1484","57.1484","61.8363","",
"Curacao","CUW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.8555","68.1272","68.1272","68.1272","",
"Cayman Islands","CYM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","3.94897","3.94897","3.94897","3.94897","3.94897","3.94897","","","","","38.0344","44.5","52","61","64.5","66","69.4659","69.7","71.4","74.1","77","79","81.0677","81.0677","81.0677","",
"Cyprus","CYP","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.0500604","0.0563675","0.111035","0.410121","0.673344","4.37827","8.89054","11.3424","15.2554","18.8188","28.32","30.09","33.83","32.81","35.83","40.77","42.31","49.81","52.99","56.8599","60.6899","65.4548","69.33","71.7159","75.9002","80.7432","84.4336","86.0636","",
"Czech Republic","CZE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.58132","1.25922","1.45358","1.94038","2.9157","3.89591","6.8328","9.78053","14.6972","23.93","34.3","35.5","35.27","47.93","51.93","62.97","64.43","68.82","70.49","73.43","74.1104","74.2317","75.6688","76.4812","78.7192","80.6882","80.8669","",
"Germany","DEU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.125892","0.250274","0.435285","0.463635","0.922541","1.83774","3.05481","6.71109","9.87785","20.846","30.2163","31.6509","48.82","55.9","64.73","68.71","72.16","75.16","78","79","82","81.27","82.35","84.17","86.19","87.5898","84.1652","84.3955","89.7391","88.1345","",
"Djibouti","DJI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.0160308","0.0311662","0.0829415","0.094696","0.105762","0.194501","0.343526","0.486972","0.62594","0.781317","0.953611","1.27004","1.62","2.26","4","6.5","7","8.26723","9.5","10.71","11.9224","13.1349","55.6814","55.6814","55.6814","",
"Dominica","DMA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.548763","1.16552","1.16552","2.92535","2.93216","8.81484","13.2452","18.4249","23.6204","30.3196","38.5436","39.3982","40.2745","41.16","42.02","47.45","48.6","49.8","51","57.5","65","67.03","69.6197","69.6197","69.6197","",
"Denmark","DNK","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0972773","0.194057","0.386914","0.57833","1.34431","3.82566","5.71499","11.382","22.6687","30.592","39.1724","42.9575","64.25","76.26","80.93","82.74","86.65","85.03","85.02","86.84","88.72","89.81","92.26","94.6297","95.99","96.3305","96.9678","97.0994","97.6443","98.0464","",
"Dominican Republic","DOM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.0172336","0.0749871","0.142688","0.233914","1.10474","3.70469","4.42939","6.82373","7.89839","8.86555","11.4832","14.8449","17.66","20.82","27.72","31.4","38","42.32","45.9","49.58","54.2158","63.8709","67.5712","74.8243","74.8243","",
"Algeria","DZA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.000360674","0.00176895","0.00173853","0.0102685","0.0202386","0.199524","0.491706","0.646114","1.59164","2.19536","4.63448","5.84394","7.37598","9.45119","10.18","11.23","12.5","14.9","18.2","22.5","29.5","38.2","42.9455","47.6911","59.5797","59.5797","",
"East Asia & Pacific (excluding high income)","EAP","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.78821484695155E-06","2.34805955233929E-05","0.000874967801484211","0.00363771244728403","0.011840205076829","0.0336275730679272","0.0940960205322561","0.323173634165061","0.852457285036825","1.84586751395586","2.77800478195863","4.40510379722658","5.75484595826581","6.87306155205405","8.3047456512573","10.1573214720795","14.3849529627725","19.2725285535254","23.7890210408462","28.9798350006277","32.4043499409168","36.0823943360186","39.2318695999501","41.5498464626491","43.7525554057094","48.1383192367882","50.5498886487789","52.8779133451351","52.7070608643978","",
"Early-demographic dividend","EAR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000242858603089514","0.000959207614376071","0.00235695702973833","0.00544939426716249","0.0114104745520185","0.0403776713548349","0.080194496749043","0.162023289291009","0.342002263165461","0.610515283263534","1.13662445247467","1.68248823332419","2.82828823584323","3.3956690753702","4.20164996738832","4.87393212415885","5.73547986891712","7.31451903943825","8.47397563573207","9.66419684431853","12.7928570244362","15.4256702566185","18.0679671593826","20.9099351899368","25.4490758484298","25.7726563027538","30.16674885304","38.0290593571673","39.5251067969932","40.2932603078742","",
"East Asia & Pacific","EAS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00721087851747455","0.0148674945007424","0.0311975713499305","0.0621837199534242","0.107776583116298","0.193066699994918","0.467536811283089","1.0836592987847","1.88536515533957","3.41787884868676","5.48295282945682","7.27834789311457","9.43152487350266","10.9572436746632","12.9874147845841","14.6717199798997","16.6204206852502","20.7905092521956","25.2855252272812","29.5506748875551","34.2705539668784","37.4023217637077","40.7438027031552","44.1230768959998","46.3289968260042","48.4666981792941","52.6132531845111","54.4770687917162","56.6117020842631","56.377466102044","",
"Europe & Central Asia (excluding high income)","ECA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.00028020653315793","0.00709947883366013","0.0329103014084769","0.0852270550589199","0.186326079422817","0.355747256315655","0.576011382112229","1.00575212263372","1.86985221077614","2.77701913907376","4.91684711077616","7.19489777381211","10.2822994574453","11.8816230995441","14.4762520958317","19.9483776190647","23.427560168073","26.9613615955339","35.3883473273594","40.5739322401627","48.9820329194159","52.9466087619409","57.0455141567597","58.9333796637224","62.6544234632548","66.714851405505","70.1307924877066","71.7469194444221","",
"Europe & Central Asia","ECS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.048057815884866","0.101975045326947","0.180908200333892","0.280383165400471","0.525900969221553","0.993127979608158","1.84143008797674","3.35516952986815","5.431180213907","9.22580039607408","13.1562593108448","16.3798728871026","23.007133578026","27.8632394419962","31.7718376659368","34.8563618200705","38.0102184768185","43.6167836802912","47.3176403832595","50.5358377247359","56.0867740765451","58.7933456513494","63.5899705464346","66.3117039817178","68.9883948857539","70.0293061076638","72.4317792815082","75.0166466673325","78.2820840026015","79.5597418808531","",
"Ecuador","ECU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.00511804","0.0164008","0.0348336","0.0438336","0.0861613","0.110218","0.125273","0.823372","1.46219","2.67044","4.2608","4.46023","4.83444","5.99426","7.2","10.8","18.8","24.6","29.03","31.3668","35.1351","40.2791","45.5904","48.9404","54.0629","57.2722","57.2722","57.2722","",
"Egypt, Arab Rep.","EGY","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.000975791","0.00638327","0.0313196","0.0614669","0.0904802","0.147987","0.290445","0.641265","0.838946","2.72","4.03789","11.92","12.75","13.66","16.03","18.01","20","21.6","25.6","26.4","29.4","33.8946","37.8194","41.2481","44.9502","46.9243","57.2829","",
